"Regen_Plot","Fire","ID","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","dominant_shrub_ht_cm","entered_by","entered_on","Year","firesev","dist.to.low","fire.abbr","X5yr","fire.year","notes","survey.years.post","elev.m","rad.march","x","y","tmean.post","ppt.post","ppt.post.min","tmean.normal","ppt.normal","perc.norm.ppt","perc.norm.ppt.min","diff.norm.ppt","diff.norm.ppt.min","diff.norm.tmean","diff.norm.ppt.z","diff.norm.ppt.min.z","diff.norm.tmean.z","diff.norm.tmean.max.z","diff.norm.tmean.JJA.mean.z","diff.norm.tmean.DJF.mean.z","diff.norm.tmean.JJA.max.z","diff.norm.tmean.DJF.min.z","ppt.plot.1.","ppt.plot.2.","ppt.plot.3.","ppt.plot.4.","rain.post.min","rain.post.mean","snow.post.min","snow.post.max","snow.post.mean","snow.plot.1.","snow.plot.2.","snow.plot.3.","snow.plot.4.","rain.plot.1.","rain.plot.2.","rain.plot.3.","rain.plot.4.","snow.normal","rain.normal","tot.neg.ppt.anom","seed.tree.any","FORB"
"AMR1300014","AMERICAN RIVER",2292,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"951 NO","NAD83 UTM zone 10",706014.84,4326801.15,36,29,"GRANITE","",4,5,0.5,87,4,6,3,0,33,0,30,"1",1,"",NA,NA,0,2,9,9,0,"BAF 5",3,10,33,5,45,45,0,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,"AMR","Y",2008,"",5,1466.50646768672,2246.46604953637,706014.84,4326801.15,11.4665836030117,1647.98275728198,1360.45801225398,11.7136687498294,1604.76292239008,1.02693222424875,0.847762615444629,43.2198348918969,-244.3049101361,-0.2470851468177,0.396820444640465,-0.190802045594398,-0.00102692980745153,0.70859422073137,-0.639746304867252,-0.197730200170101,0.0320787257206026,-0.444871744100201,1360.45801225398,1371.27941199355,2212.2108475984,NA,928.644893853304,1036.51026422713,0,0,0,0,0,0,NA,928.644893853304,999.466995579598,1181.41890324849,NA,0,519.176977660175,0,2.4,0.5
"AMR1300022","AMERICAN RIVER",2293,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"952 NO","NAD83 UTM zone 10",706014.29,4326999.89,304,24,"GRANITE","",0.5,4,0.5,90,6,5,0,0,0,0,1,"1",2,"",NA,NA,0,2,10,8,2,"",0.5,5,0,20,200,160,40,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,"AMR","Y",2008,"",5,1445.34988178827,2781.44982272069,706014.29,4326999.89,11.4587093839566,1653.480592881,1366.18061397839,11.7033205509861,1606.56809511834,1.02920044155315,0.850372055893315,46.9124977626568,-240.38748113995,-0.244611167029465,0.396891296083811,-0.188376907170511,-0.00102679047011371,0.710423386298921,-0.641830019300287,-0.19760549910495,0.0304619867234488,-0.44604545651121,1366.18061397839,1375.12280730729,2219.13835735731,NA,932.887611748372,1040.50142450119,0,0,0,0,0,0,NA,932.887611748372,1002.38554871111,1186.23111304408,NA,0,520.209191794196,0,1.5,0.5
"AMR1300030","AMERICAN RIVER",2294,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"953 NO","NAD83 UTM zone 10",706001.53,4327205.55,342,33,"GRANITE","",0.5,0.5,2,87,10,20,1,0,65,0,60,"1",0,"",NA,NA,0,2,10,10,0,"LOOK UNBURNED",1,30,65,20,200,200,0,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,"AMR","Y",2008,"",5,1434.2561650702,2774.38316066118,706001.53,4327205.55,11.477904264716,1658.86563076049,1371.72123149726,11.7214229512354,1606.7940648825,1.0324071186321,0.853700708433703,52.0715658779934,-235.07283338524,-0.243518686519367,0.396867859472151,-0.186220731123619,-0.0010261941889644,0.712587541977915,-0.642651607815254,-0.197669748601194,0.03172410190753,-0.446572271882883,1371.72123149726,1378.97282920733,2225.90283157689,NA,936.968052488862,1044.36642999503,0,0,0,0,0,0,NA,936.968052488862,1005.26756540332,1190.8636720929,NA,0,520.619190825299,0,1.9,0.5
"AMR1300032","AMERICAN RIVER",2295,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"32 AMR CPP","NAD83 UTM zone 10",706209.01,4327202.08,0,35,"GRANITE","",0.5,0.5,1,98,1,30,0,0,80,10,80,"1",2,"",NA,NA,0,3,8,8,0,"",0.5,30,80,20,160,160,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,"AMR","Y",2008,"",5,1450.1426533358,2477.44646875586,706209.01,4327202.08,11.4395742208559,1663.86806778808,1378.03600911607,11.6781364442369,1607.46069854074,1.03509097877077,0.85727508633154,56.4073692473401,-229.42468942467,-0.238562223381001,0.398481512660694,-0.180529924747197,-0.00102870641179651,0.71417505784969,-0.646863186085937,-0.197311152218204,0.0253524553853131,-0.450234677652583,1378.03600911607,1381.0020156708,2232.56617857737,NA,942.131729742397,1048.76967562934,0,0,0,0,0,0,NA,942.131729742397,1007.53504955708,1196.64224758854,NA,0,522.404619378554,0,1.4,0.5
"AMR1300034","AMERICAN RIVER",2296,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"957 NO","NAD83 UTM zone 10",706400.32,4327221.79,234,15,"GRANITE","",0,0.5,1,97,2,18,0.5,4,70,0,50,"1",1,"",NA,NA,0.5,3,8,8,0,"A FEW STUMPS PRESENT OUTSIDE PLOT- SALVAGE LOGGING",10,55,70,20,160,160,0,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,"AMR","Y",2008,"",5,1486.09903839893,2543.34393599229,706400.32,4327221.79,11.4061881349963,1669.10093354738,1383.3037737307,11.6409692136439,1607.26755769717,1.03847111549915,0.860655568580407,61.8333758502099,-223.96378396647,-0.234781078647565,0.399970283791136,-0.177463358012079,-0.00102444876703337,0.711643748770712,-0.647698640459354,-0.196864658186498,0.0214119214813865,-0.447558947628177,1384.5062985383,1383.3037737307,2239.49272837314,NA,947.376373623856,1053.28373892204,0,0,0,0,0,0,NA,947.376373623856,1009.9567130006,1202.51813014165,NA,0,523.624565026987,0,1.9,10
"AMR1300052","AMERICAN RIVER",2297,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"958 NO","NAD83 UTM zone 10",706398.38,4327412.29,185,25,"GRANITE","",0.5,1,1,94,4,5,12,0.5,78,0,75,"1",1,"",NA,NA,0.5,2,8,8,0,"SMALL STUMPS OUTSIDE PLOT IS WHY THERE ARE NO SNAGS, AND BUMPS UP THE CWD COVER.",12,25,78,20,160,160,0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,"AMR","Y",2008,"",5,1503.87088431822,3087.34094603948,706398.38,4327412.29,11.4185506516928,1674.14193999245,1386.80562144515,11.6517739137508,1607.70366155397,1.04132495311621,0.862600275541262,66.43827843848,-220.89804010882,-0.233223262058033,0.400050535116196,-0.178799184027994,-0.0010253207183684,0.714220673859748,-0.649228679359281,-0.19682871897833,0.0216152504870765,-0.449341602634716,1389.76754646886,1386.80562144515,2245.85265206334,NA,951.313971154917,1056.98296419265,0,0,0,0,0,0,NA,951.313971154917,1012.65794110675,1206.97698031629,NA,0,524.037316758581,0,3.2,0.5
"AMR1300054","AMERICAN RIVER",2298,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"54 AMR CPP","NAD83 UTM zone 10",706600.57,4327417.34,242,28,"GRANITE","",5,8,1,83,3,35,2,0,4,0,25,"1",2,"",NA,NA,0,0.5,6,3,3,"BAF 5",2,65,4,5,30,15,15,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,"AMR","Y",2008,"",5,1496.50950589664,3107.50391752741,706600.57,4327417.34,11.3780379935224,1679.1460951366,1388.85598850355,11.6070689413889,1607.60535715132,1.04450143044562,0.863928440102119,71.5407379852766,-218.74936864777,-0.229030947866534,0.401621264980608,-0.181759684730841,-0.00102241954692416,0.71219934090567,-0.650737122657766,-0.196355704696103,0.0166959668029205,-0.447822571802584,1396.06764006239,1388.85598850355,2252.51465684385,NA,956.476119318928,1061.39200779014,0,0,0,0,0,0,NA,956.476119318928,1014.94829438325,1212.75160966825,NA,0,525.19075434952,0,4.7,0
"AMR1300056","AMERICAN RIVER",2299,"7/1/2013 0:00:00","CP, MS, NO, PB",2008,"56 AMR CPP","NAD83 UTM zone 10",706798.91,4327416.8,94,22,"GRANITE","",0,1,1,93,5,8,0,0,15,2,15,"1",3,"",NA,NA,0.5,2,14,4,10,"",0,9,15,20,280,80,200,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,"AMR","Y",2008,"",5,1496.51501747616,3117.18415109301,706798.91,4327416.8,11.3381880276911,1683.9139550503,1390.77074998848,11.5631709728395,1607.48843565581,1.04754343340785,0.865182429397126,76.4255193944932,-216.71768566733,-0.224982945148399,0.403148946859949,-0.184610674099164,-0.00101946570821692,0.710086087302747,-0.65212934217882,-0.195890594627376,0.011885939714564,-0.446194060365339,1402.09963206902,1390.77074998848,2258.87148309341,NA,961.42772927301,1065.61201511991,0,0,0,0,0,0,NA,961.42772927301,1017.11887591539,1218.28944017134,NA,0,526.315631339031,0,3.2,0.5
"AMR1300069","AMERICAN RIVER",2300,"7/2/2013 0:00:00","CP, MS, NO, PB",2008,"69 AMR CPP","NAD83 UTM zone 10",706790.69,4327627.62,247,23,"GRANITE","",5,5,5,85,0.5,10,1,0,75,5,70,"1",2,"",NA,NA,0.5,1,7,6,1,"BAF 10",4,20,75,10,70,60,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,"AMR","Y",2008,"",5,1523.24221982885,2854.76437694883,706790.69,4327627.62,11.3444669407652,1689.1331322778,1394.40289283576,11.5671813394135,1608.2633512883,1.0502839170741,0.867023980692449,80.8697809894966,-213.86045845254,-0.2227143986483,0.403220006479146,-0.185954269220313,-0.00102384604309839,0.714745915681313,-0.655290196442482,-0.195850298950172,0.0108011480956069,-0.451131608351118,1407.53891453417,1394.40289283576,2265.45758946346,NA,965.530703014765,1069.47092148197,0,0,0,0,0,0,NA,965.530703014765,1019.95315014383,1222.92891128732,NA,0,526.532821316175,0,1,3
"AMR1300080","AMERICAN RIVER",2301,"7/11/2013 0:00:00","CP, MS, RD, PB",2008,"5717 RD","NAD83 UTM zone 10",701819.93,4338652.73,149,8,"GRANITE","",0,0,1,94,5,53,2,0,15,0,15,"1",0,"",NA,NA,NA,NA,NA,NA,NA,"BAF 10, SALVAGE LOGGING, PLOT APPEARS UNBURNED",2,55,15,10,0,NA,0,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,0,"AMR","Y",2008,"",5,1609.00857345489,2886.53800944613,701819.93,4338652.73,10.893572591438,1812.79003307108,1477.99567631649,11.0299471363056,1725.60238902229,1.05052591755983,0.856509984987856,87.1876440487868,-247.6067127058,-0.136374544867566,0.382718811893968,-0.242345594358425,-0.00100107886623239,0.73971071740099,-0.693559535215262,-0.194464566776449,0.00634907290482541,-0.437700412516272,1477.99567631649,1551.00158806884,2409.3728348279,NA,1010.45244894729,1136.95623857208,0,0,0,0,0,0,NA,1010.45244894729,1122.21337265407,1278.20289411487,NA,0,550.366914618773,0,4.1,0
